Feature,Type,Description,Proccess,File,Source Code Lines,Page
sum_of_steps_mean,Float,Average daily step count,"The mean of the sum of steps of the specific subject, as identified in the Metrics of Heart rate by activity csv",*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
Feature,String,The finalclassification of theactivity/feature foreach minute,"The 'Feature' column is initially set to the same values as the 'Activity'column. If the minute is associated with sleep and the 'Activity' is not 'high_activity', the 'Feature' column is updated to the corresponding sleep feature from the 'SleepFeature' column.If the minute is part of the 10-minute pre-high activity or 10-minute post-high activity period, the 'Feature' column is updated to '10_min_pre_high_activity' or '10_min_post_high_activity',respectively. The 'Feature' column represents the final classification for each minute after considering sleep features and 10-minute activity periods.",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,Combine step
DateOfSleepEvening�,Date,The date when the subject was a sleep.,The Date of the sleep,{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
deep_minutes,Int,,The value of the total minutes that Fitbit estimated that the subject was in deep sleep at this sleep.,{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
EndOfDay,dateTime,,The datetime value of the time where the sleep ended in the current day as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
feature_bpm_count,Int,,The mean of the feature_bpm_count�as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
feature_bpm_cv,Float,,The mean of the feature_bpm_cv�as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
EndHeartRate,int,The heart rate value in the minute the eda recording finished.,The last heart rate value of this EDA recording as estimated by Fitbit at the end of the recording. /n This value come from the Mindfulness sessions csv file.,{subject} EDA.csv,,EDA
EndMeasureTime,dateTime,The time where the subject finish to recording his EDA.,This dateTime is calculated from the end_date_time column of the Mindfulness session csv file. /n The value from the csv file get through few converting steps: /n 1. converted to datetime. /n 2. If there is not time zone in the value then +00:00 is added to the end of the value. /n 3. Then the timezone converted to Israel time zone (+02:00) /n 4. Then the addition of the time zone is dropped. /n /n If the measure time is between 00:00 and 05:00 then the date is assigned to the previous date.,{subject} EDA.csv,,EDA
feature_bpm_max,Float,,The mean of the feature_bpm_max�as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
feature_bpm_mean,Float,,The mean of the feature bpm mean as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
feature_bpm_min,Float,,The mean of the feature_bpm_min�as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
HRV Coverage Mean,Float,,"This metric has been calculated by slicing a coverage vector from the Heart Rate Variability csv file, between the SleepStartTime and SleepEndTime, then, the mean of this sliced vector is calculated.",{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
HRV High Frequency Mean,Float,,This metric has been calculated by slicing a high-frequency vector from the Heart Rate Variability CSV file�between the SleepStartTime and SleepEndTime; then the mean of this sliced vector is calculated.,{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
HRV Low Frequency Mean,Float,,"This metric was calculated by slicing a low-frequency vector from the Heart Rate Variability CSV file between SleepStartTime and SleepEndTime. Then, the mean of this sliced vector is calculated.",{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
HRV RMSSD Mean,Float,,"This metric has been calculated by slicing an RMSSD vector from the Heart Rate Variability csv file, between the SleepStartTime and SleepEndTime,Then, the mean of this sliced vector is calculated.",{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
feature_bpm_std,Float,,The mean of the feature_bpm_std�as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
light_minutes,Int,,The value of the total minutes that Fitbit estimated that the subject was in light sleep at this sleep.,{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
mean_of_steps_that_sampled_mean,Float,,The mean of the mean of the steps that sampled as identified in the Metrics of heart rate by activity.csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
minutes_percentage_of_feature_bpm,Float,,The mean of the�minutes_percentage_of_feature_bpm�as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
StartOfDay,datetime,,The datetime value of the time where the sleep ended in the previous day as identified in the sleep all subjects csv.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
std_of_steps_mean,Float,,The mean of the std of the steps as identified in the metrics of heart rate by activity csv of the subject,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
feature_bpm_based,Float,,The sum of the samples that identified as valid for the specific subject.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
feature_days_based,Int,,The total of the samples that identified as valid for the specific subject.,*(Full Week/ No Weekends) Summary of Heart Rate Metrics By Activity.csv,,Combine step1
WeekdayOfSleep,String,The name of the day in the week where the sleep happened.,,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
WeekdayOfSleepEvening,String,The day in the week where the sleep occurred (based on DateOfSleepEvening),The name of the day in the week by the date of DateOfSleepEvening.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
BedStartTime,datetime,The datetime when the subject got to bed (by fitbit),The datetime value of the time where the subject got in bed started as identified in the sleep all subjects csv.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
BedEndTime,datetime,The datetime when the subject got out of bed (by fitbit),The datetime value of the time where the subject get out of bed as identified in the sleep all subjects csv.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
mean_2_minutes_EDA_mindfulness,Float,The unfiltered mean of the eda scl signal as fitbit calculated.,The mean of the 2 minutes eda measurements as recorded by the fitbit watch.,EDA Summary.csv,,EDA
SleepEndTime,datetime,The datetime value of the minute where the subject woke up.,BedEndTime (by fitbit) - MinutesInBedAfterWakeup,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
mean_valid_2_minutes_EDA_mindfulness,Float,"The mean value, only of the valid eda sessions.",The mean of the 2 minutes eda measurement after cleaning the non valid measurements as identified in the eda csv file.,EDA Summary.csv,,EDA
MeasureInSeconds,Int,The duration of the measure in seconds as being estimated by the Fitbit watch at the time of the recording.,This value come from the duration column of the Mindfulness EDA Data Sessions csv file. /n The correct session is selected by comparing the session_id of the correct row from the Mindfulness session  /n csv file. This file sliced by the dates of the subjects dates and the measure start and end time.,{subject} EDA.csv,,EDA
SleepStartTime,datetime,The datetime value of the minute where the subject fall a sleep.,The datetime value of the time where the sleep started as identified in the sleep all subjects csv.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
DateOfSleepEvening,Date,"The date of the evening that the sleep occurs. This helps to identify the correct sleep date, even if the sleep started after midnight in ","The date of sleep starts on this day, /n if ValidSleep == True /n  AND /n the MainSleep (Fitbit Calculation) == True, /n in the rows of the specific subject in the Sleep All Subjects CSV file.  /n",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
FirstDayOfExperiment,String,,The day in the week that�the experiment started.�The first date that identified in the sleep all subjects CSV,Sleep Daily Details�(Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
FirstDayOfExperiment,String,,The day in the week that�the experiment started.�The first date that identified in the sleep all subjects CSV,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Id,String,participants Id ,based on Id column in Subjects Dates.csv ,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
DayOfExperiment�,Int,Number of days from the start of the experiment (from 1).,For each unique date of 'DateOfSleepEvening' column a consecutive rank value is assigned.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
ExperimentDates�,Date,Date of the experiment day.,A date range array is created from the start date to the end date from the Subject Dates file. Include Not in Israel dates.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
EndOfDay,dateTime,,The datetime value of the time where the sleep ended in the current day as identified in the sleep all subjects csv.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
feature_bpm_count,Int,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The count bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n If the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file, it will not be taken into account. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated. /n If the bpm count in the specific row is 0, then nan will be assigned.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
feature_bpm_cv,Float,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The cv bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n It will not be considered if the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
feature_bpm_empirical_skew_by_noa_from_paper,Float,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n This feature is calculated as: /n ((the bpm mean of this feature - the median bpm of this feature) *3)  /n  divided by /n  specific feature bpm std /n /n If the day is the first day of the experiment, only the sleep features will be calculated. /n It will not be considered if the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated. /n /n This feature will not been calculate for sleep features ! ",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
NumberOfValidSleeps,Int,,The total number of valid  sleep of the subject,Sleep Daily Details�(Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
NumberOfValidSleeps,Int,,The total number of valid  sleep of the subject,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
feature_bpm_max,Float,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The max bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n If the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file, it will not be taken into account /n. Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
feature_bpm_mean,Float,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The mean bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n  It will not be considered if the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file. /n  Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated. /n",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
feature_bpm_min,Float,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The min bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n If the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file, it will not be taken into account. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
feature_bpm_std,Float,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The std bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n  It will not be considered if the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
mean_of_steps_that_sampled_mean,Float,,The mean of the mean of the steps that sampled as identified in the Metrics of heart rate by activity.csv of the subject,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
minutes_percentage_of_feature_bpm,Float,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The percentage of minutes on the specific day the subject was in the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n It will not be considered if the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated. /n /n This feature will not be calculated for sleep features!",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
StartOfDay,datetime,,The datetime value of the time where the sleep ended in the previous day as identified in the sleep all subjects csv.,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
std_of_steps_mean,Float,,The mean of the std of the steps as identified in the metrics of heart rate by activity csv of the subject,{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
feature_bpm_skew,Float,,"Each day, these features are calculated for all the features in this subject's heart rate, steps, and sleep aggregated CSV file. /n /n The skew bpm of the specific feature. /n If the day is the first day of the experiment, only the sleep features will be calculated. /n It will not be considered if the row is identified as an outlier in the heart rate, steps, and sleep aggregated CSV file. /n Also, if it's not the first date and this is the excluded weekend file, then weekend values will not be calculated.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
Mean MidnightToSleepEnd(minutes),Float,,The mean of the difference of the minutes between the sleep end time and midnight. (end time - midnight),Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Mean MinutesAwake (Fitbit Calculation),Float,,The mean of minutes that the sleep level of the subject was awake for all of his experiment days.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Mean MinutesInBed (Fitbit Calculation),Float,,"The mean of minutes in bed by fitbit, as identified in the sleep all subject for all his nights.",Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Mean MinutesToFallAsleep,Float,,The mean time that took the subject to fall a sleep in all of his days of experiments.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Mean NightAwakeCount,Float,,The mean of the times the subject wake up in nights through all of his experiments days.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Mean Sleep Efficiency (SE SleepTimeInMinutes/MinutesInBed Ratio),Float,,The mean of the efficiency index of all days of experiment for the specific subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Mean SleepStartToMidnight(minutes),Float,,The mean of the difference of the minutes between the sleep start time and midnight.  (start time - midnight),Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Mean SleepTimeInMinutes (Fitbit Calculation),Float,,The mean of time a sleep for all the days of experriments of the subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Mean SleepTimeInMinutes (our Calculation: SleepEndTime-SleepStartTime),Float,,The mean of time a sleep for all the days of experiment of the subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
rem_minutes,Int,,The value of the total minutes that Fitbit estimated that the subject was in REM sleep at this sleep.,{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
Skin Temperature Max,Float,,"This metric has been calculated by slicing the temperature vector from the device�temperature CSV file�between the SleepStartTime and SleepEndTime. Then, the maximum�of this sliced vector is calculated.",{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
Skin Temperature Mean,Float,,"This metric has been calculated by slicing the temperature vector from the device Temperature csv file,�between the SleepStartTime and SleepEndTime. Then, the mean of this sliced vector is calculated.",{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
Skin Temperature Min,Float,,"This metric has been calculated by slicing the temperature vector from the device�temperature CSV file�between the SleepStartTime and SleepEndTime. Then, the minimum�of this sliced vector is calculated.",{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
mean_of_steps_that_sampled,Float,,"The mean of steps sampled in the date of the current row that didn't identify as outliers in the heart rate and steps and sleep /n  aggregated of this subject. /n Also, if this is the exclude weekends file, then if it's not a weekend.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
MidnightToSleepEnd(minutes) Day [i days of experiment],Int,,The difference in minutes between the time the subject wake up and midnight (sleep end time - midnight) for each day of experiment.,Sleep Daily Details�(Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
MinutesAwake (Fitbit Calculation) Day [i days of experiment],Int,,The minutes in awake for each day of experiment by fitbit.,Sleep Daily Details�(Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
sleep_start_time,datetime,,"The time of sleep as estimated by Fitbit in the monthly sleep JSON file of the subject, /n if /n The dateOfSleep is in the experiment date range, /n The type is not 'classic', /n The mainSleep == True, /n The isMainSleep == True",{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
SleepBreathsInMinute Mean (Fitbit Calculation),Float,,"This metric is the value of the daily_respiratory_rate column in the device temperature CSV file downloaded from Fitbit,�calculated as a valid sleep. /n Calculated by the ValidSleep function: /n 1. SleepStartTime lower than 8:00 OR SleepStartTime greater or equal to 20:00 /n 2. The longest sleep (by our sleep duration metric) has been filtered from each date. /n 3. Filtering out all the sleep, we calculated it as less than 3 hours.",{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
MinutesInBed (Fitbit Calculation) Day [i days of experiment],Float,,The minutes in bed for each day of experiment.,Sleep Daily Details�(Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
MinutesToFallAsleep Day [i days of experiment],Float,,The minutes that took the subject to fall a sleep for each day of experiment.,Sleep Daily Details�(Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Mode,String,"Sleep Mode label. Labels each minute as 'awake', 'sleeping' and 'unknown'  ","The label of the specific activity value. /n The activity values that are currently available are 'sleeping', 'awake', and 'unknown'. /n they defined as: /n sleeping - minutes in the time between the start of sleep time and end of sleep time. /n in_bed - minutes in the time between the bed start time and bed end time. /n awake - minutes that are not labeled as sleep or rest. /n unknown - if there is no SleepEndTime value in the Sleep All Subjects file, then 'unknown' value would be assign for his records, from an hour after the last SleepEndTime value to an hour before the next SleepStartTime value.",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,Combine step
SleepTemperature,Float,,"This metric is the value of the nightly_temperature column from the computed temperature CSV file that  /n downloaded from Fitbit, which was calculated as a valid sleep. /n Calculated by the ValidSleep function: /n  1. SleepStartTime lower then 8:00 OR SleepStartTime greater or equal to 20:00 /n 2. The longest sleep (by our sleep duration metric) has been filtered from each date. /n 3. Filtering out all the sleep, we calculated it as less than 3 hours.",{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
NightAwakeCount Day [i days of experiment],Float,,The amount of time that the subject woke up for each day of experiment.,Sleep Daily Details�(Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Sleep Efficiency (SE SleepTimeInMinutes/MinutesInBed Ratio) Day [i days of experiment],Float,,The sleep efficiency index for each day of experiment.,Sleep Daily Details�(Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
SleepFeature,String,,"The label of the specific sleep feature. /n The sleep features that are currently available are ""pre-sleep"" and 'post-sleep', /n they are defined as: /n  pre-sleep - if the specific minute is within a range of one hour before the valid sleep. /n  Post-sleep - if the specific minute is within one hour after the valid sleep.",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,Combine step
SleepStartToMidnight(minutes) Day [i days of experiment],Float,,The difference in minutes between the time the subject fall a sleep and midnight (sleep start time - midnight) for each day of experiment.,Sleep Daily Details�(Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
StartHeartRate,int,The heart rate value in the minute that the eda recording started.,The intial heart rate value of this EDA recording as estimated by Fitbit at the start of the recording. /n This value come from the Mindfulness sessions csv file.,{subject} EDA.csv,,EDA
StartMeasureTime,dateTime,The time where the subject start to recording his EDA.,This dateTime is calculated from the start_date_time column of the Mindfulness session csv file. /n The value from the csv file get through few converting steps: /n 1. converted to datetime.  /n  2. If there is not time zone in the value then +00:00 is added to the end of the value. /n 3. Then the timezone converted to Israel time zone (+02:00) /n 4. Then the addition of the time zone is dropped. /n /n If the measure time is between 00:00 and 05:00 then the date is assigned to the previous date.,{subject} EDA.csv,,EDA
SleepTimeInMinutes (Fitbit Calculation) Day [i days of experiment],Float,,The minutes a sleep for each day of experiment by fitbit.,Sleep Daily Details�(Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
SleepTimeInMinutes (our Calculation: SleepEndTime-SleepStartTime) Day [i days of experiment],Float,,The minutes in asleep for each day of experiment.,Sleep Daily Details�(Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Std MidnightToSleepEnd(minutes),Float,,The Std of the difference of the minutes between the sleep end time and midnight. (end time - midnight),Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
std_2_minutes_EDA_mindfulness,Float,The unfiltered std of the eda scl signal as fitbit calculated.,The std of the 2 minutes eda measurements as recorded by the fitbit watch.,EDA Summary.csv,,EDA
Std MinutesInBed (Fitbit Calculation),Float,,"The Std�of minutes in bed by fitbit, as identified in the sleep all subject for all his nights.",Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
std_valid_2_minutes_EDA_mindfulness,Float,"The std value, only of the valid eda sessions.",The std of the 2 minutes eda measurement after cleaning the non valid measurements as identified in the eda csv file.,EDA Summary.csv,,EDA
Std SleepStartToMidnight(minutes),Float,,The Std of the difference of the minutes between the sleep start time and midnight.  (start time - midnight),Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
std_of_steps_that_sampled,Float,,"The std of steps sampled on the date of the current row didn't identify outliers in the heart rate and steps and sleep /n  aggregated for this subject. /n Also, if this is the exclude weekends file, then if it's not a weekend.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
Std�MinutesAwake (Fitbit Calculation),Float,,The Std�of minutes that the sleep level of the subject was awake for all of his experiment days.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Std�MinutesToFallAsleep,Float,,The Std�time that took the subject to fall a sleep in all of his days of experiments.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Std�NightAwakeCount,Float,,The Std�of the times the subject wake up in nights through all of his experiments days.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Std�Sleep Efficiency (SE SleepTimeInMinutes/MinutesInBed Ratio),Float,,The Std of the efficiency index of all days of experiment for the specific subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
Std�SleepTimeInMinutes (Fitbit Calculation),Float,,The Std�of time a sleep for all the days of experriments of the subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
ValidMeanEDA,Float,"The mean value of the EDA scl signal, only for valid sessions that got True value by fitbit too.","This metric is calculated by doing an average to the scl_avg column from the /n Mindfulness EDA Data Sessions csv file, /n the correct sessions are selected by comparing the session_id. /n But in this metric, only the values that the value of the valid_data == True are selected.",{subject} EDA.csv,,EDA
wake_minutes,Float,,The value of the total minutes that Fitbit estimated that the subject was awake at this sleep.,{subject} HRV Temperature Respiratory At Sleep.csv,,premium features analysis
Std�SleepTimeInMinutes (our Calculation: SleepEndTime-SleepStartTime),Float,,The�Std�of time a sleep for all the days of experiment of the subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,Extract Sleep
sum_of_steps_that_sampled,Float,,"The sum of steps that were sampled in the date of the current row that didn't identify as outliers in the heart rate and steps and sleep /n  aggregated of this subject. /n Also, if this is the exclude weekends file, then if it's not a weekend.",{subject} Metrics of Heart Rate By Activity *(exclude_weekends).csv,,Combine step1
z_score,Float,Z score of the minute  - calculated within feature,"The z-score is calculated for each group of features. For each feature, the mean and standard deviation of bpm are calculated, and then for each minute, the z-score is calculated using theformula: (current_bpm - mean) / std.",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,Combine step
z_score_outlier_above_2_7,Bool,False if the z_score value of this row is above 2.7.,currently no used for feature outlier screening,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,Combine step
Mode2,String,"Detailed sleep mode label. Same as Mode column but with additional labels for sleep stages (as provided by Fitbit)Labels each minute as:  'awake', 'sleeping', 'unknown' , (if no sleep data are present), 'deep', 'light', 'rem', 'restless', 'sleep awake' (awake during sleep) /n unknown - if there is no SleepEndTime value in the Sleep All Subjects file, then 'unknown' value would be assign for his records, from an hour after the last SleepEndTime value to an hour before the next SleepStartTime value.",,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,Combine step
not_in_israel,Bool,"False if the subject is in Israel\Cyprus. Based on ""not_in_israel_df.csv"" file ",,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,Combine step
